Material,Manufacturing Location,Hazardous Material + (% Composition),Appearance & Odour,Routes of Exposure,Health Hazards,Autoignition Temperature (C),Handling & Storing Options,Exposure Control Measures,Units,Hazard Rating,Hyper Link, 
Corrugated cardboard,Israel; Caesarea,N/A,Odorless,N/A,N/A,N/A,N/A,None,/Units,1,https://www.bestcarton.co.il/wp-content/uploads/pdf/msds-best-carton.pdf,
Coloured Plexiglass,United States; King of Prussia; PA,Acrylic copolymer <= 100 %; Methyl methacrylate  < 2 %,Varity of colour and odorless,eye; skin and respiratory tract irritation,inhalation; eye and skin contact,304,Store in cool; dry place; away from from source of heat and light,None,/Units,2,https://www.plexiglas.com/en/acrylic-sheet/plexiglas-expert/safety-data-sheets/,
Cotton Canvas,China; Shanghai,N/A,Varity of colours; odorless,N/A,N/A,N/A,Store at room temperature and in a dry place,None,/Units,1,http://cgategroup.com/wp-content/uploads/2015/06/Textiles-Cotton_Canvas_msds.pdf,
Wood,"Thessalon; ON; Canada
",N/A,"Varies with formulation 
",respiratory tract irritation; allergic respiratory reactions; asthmatic breathing; eye tearing; dermatitis; rash,Inhalation; eye or skin contact,N/A,N/A,Control airborne cotaminants (ventilation),/Kg,1,https://www.ucfp.com/resources/hardwood_plywood/birchland/Birchland_MSDS.pdf,
Fabric,United States; Woodburn; KY,N/A,"Varies with formulation 
",N/A,N/A,N/A,Keep away from potential fire hazards,None,/sq m,1,http://www.wonderchem.com/pdf/msds/PolyesterFabric-MSDS.pdf, 
Adhesive coated vinyl film,Australia; South Oakley Victoria,N/A,Varity of colours; slight odor,choking,ingestion,>260,Store in cool; dry area.,Ventilation; Eye Protection; Gloves,/sq m,2,https://graphicsap.averydennison.com/content/dam/averydennison/graphics/ap/en/Instructional-Bulletins/Avery_IB_1.13_MSDS_PVC_Rev_1.pdf,
Aluminum Composite Panel,United States; Manning; SC,N/A,Various colors. Odorless,exposure to dust (if sanding or grinding); poisoning,inhalation and ingestion,N/A,Use appropriate personal protective equipment; store in a cool; dry location; away from intense heat,ventilation; Eye Protection; Gloves,/sq m,4,https://alucoil.com/northamerica/wp-content/uploads/sites/7/2016/02/msds-sheet-fr.pdf, 
Masonite Hardboard,"Australia; Bundamba QLD 4304
",N/A,"Pressed; hardboards ranging in thickness from 2.5 mm
to 6.4mm; slight oder from wood",Irritating to eyes; respiratory system and skin,inhalation and skin contact,>200 ,"well ventilated areas away from sources of heat; flame or
sparks",Ventilation; Eye Protection; Gloves,/sq m,4,https://www.forest1.com/images/stories/products/Masonite%20Standard/specs/Australian_Hardboards_Masonite_MSDS.pdf, 
Polymethyl Methacrylate Mirror Sheet,Canada;  Langley; BC,"Polymethyl methacrylate (PMMA) >98%; Methyl methacrylate (MMA) <0.5%;
 Aluminum <1%; Paint 1.5%",Odorless,Exposure to dust (if sanding or grinding),Inhalation,445°C,extensive storing at higher than the maximum temperature will emit vapors; carbon monoxide or carbon dioxide. ,Ventilation; Eye Protection; Gloves,/sq m,4,https://www.redwoodplastics.com/wp-content/uploads/2015/04/Acrylic-Mirror-Sheet-MSDS.pdf,
Fountain Pen,Canada: Missausaga ON,NA,colour and odour varies,mild stomach ache,digestion,NA,NA,mask,/units,2,https://en.wikipedia.org/wiki/Fountain_pen_ink https://www.illinoispoisoncenter.org/my-child-ate-pen-or-marker-ink,
water colour,"United States: Easton; PA
",None,Odorless; colour varies,None,Inhalation; Skin Contact; Eye Contact; Ingestion,None,See original container for storage recommendations; Use methods to minimize dust,None,/mL,2,https://content.oppictures.com/Master_Images/Master_PDF_Files/CYO531508_SDS.PDF,
acrylic ,"United States: Easton; PA
",None,slight odor; colour varies,None,Inhalation; Skin Contact; Eye Contact; Ingestion,None,See original container for storage recommendations; Wash thoroughly after handling,None,/mL,2,https://www.chemadvisor.com/Crayola/database/Crayola/msds/CRAY-052000400003.PDF,
